# NASA Exoplanet Archive PSCompPars snapshot (shipped with the release)
# fetched: 2026-08-09T19:15:07Z
# endpoint: https://exoplanetarchive.ipac.caltech.edu/TAP/sync
# query: select pl_name,st_spectype,st_teff,st_logg,st_met,st_metratio,st_rad,sy_kmag,pl_radj,pl_bmassj,pl_bmassprov,pl_orbsmax,pl_trandur from pscomppars where tran_flag=1 and st_teff is not null and st_rad is not null and pl_radj is not null and pl_orbsmax is not null order by pl_name
# rows: 4355
pl_name,st_spectype,st_teff,st_logg,st_met,st_metratio,st_rad,sy_kmag,pl_radj,pl_bmassj,pl_bmassprov,pl_orbsmax,pl_trandur
CoRoT-9 b,G3 V,5625.00,4.540000,-0.0100,[Fe/H],0.960000,11.6880000,1.06600000,0.84000000,Mass,0.4021000000,8.2680000
EPIC 201170410.02,,3648.00,4.999000,-0.0480,[Fe/H],0.282000,12.6190000,0.09340708,0.00360000,M-R relationship,0.0349000000,
EPIC 201595106 b,,5679.00,4.435000,0.0100,[Fe/H],0.980000,10.2180000,0.13962019,0.02413252,Mass,0.0177000000,1.0008000
EPIC 201757695.02,,4520.00,4.659000,-0.0030,[Fe/H],0.655000,12.1490000,0.08102328,0.00217000,M-R relationship,0.0296000000,
EPIC 201841433 b,,5053.00,4.595000,0.0000,[Fe/H],0.628461,12.4540000,0.09278259,0.00352000,M-R relationship,0.0350000000,2.4000000
EPIC 211822797 b,M0,4057.00,4.700000,0.2000,[Fe/H],0.580000,11.4290000,0.17129122,0.01370000,M-R relationship,0.1195000000,3.5760000
EPIC 211945201 b,G0,6069.00,4.220000,0.1000,[Fe/H],1.390000,8.8370000,0.51387278,0.03460987,Mass,0.1493000000,3.9100000
EPIC 212737443 b,K3,4684.00,4.622000,-0.1370,[Fe/H],0.673000,12.1600000,0.23070747,0.02270000,M-R relationship,0.0980000000,2.9760000
EPIC 212737443 c,K3,4684.00,4.622000,-0.1370,[Fe/H],0.673000,12.1600000,0.23998573,0.02420000,M-R relationship,0.2800000000,4.6080000
EPIC 220674823 b,G5 V,5578.00,4.408000,-0.0050,[Fe/H],0.990000,10.3440000,0.14327797,0.02372349,Mass,0.0132000000,1.5990000
EPIC 220674823 c,G5 V,5578.00,4.408000,-0.0050,[Fe/H],0.990000,10.3440000,0.24194885,0.02485618,Mass,0.1078000000,3.7822000
EPIC 229004835 b,,5868.00,4.470310,-0.1200,[Fe/H],0.999000,8.7250000,0.20804746,0.03272206,Mass,0.1237000000,2.1000000
EPIC 246851721 b,F5 V,6202.00,4.157000,0.1410,[Fe/H],1.586000,9.8930000,1.05100000,3.00000000,Mass,0.0722900000,4.1080800
EPIC 248847494 b,,4898.00,3.520000,-0.2300,[Fe/H],2.700000,10.1480000,1.11000000,13.00000000,Mass,4.5000000000,53.6000000
EPIC 249893012 b,G8 IV/V,5430.00,3.990000,0.2000,[Fe/H],1.710000,9.7140000,0.17396735,0.02753044,Mass,0.0470000000,4.3300000
EPIC 249893012 c,G8 IV/V,5430.00,3.990000,0.2000,[Fe/H],1.710000,9.7140000,0.32741547,0.04615675,Mass,0.1300000000,6.3700000
EPIC 249893012 d,G8 IV/V,5430.00,3.990000,0.2000,[Fe/H],1.710000,9.7140000,0.35150326,0.03202970,Mass,0.2200000000,9.5600000
G 9-40 b,M2.5 V,3395.00,4.840000,-0.0700,[Fe/H],0.302600,9.1900000,0.16950694,0.01258541,Mass,0.0418000000,1.6930000
GJ 1132 b,M4.5 V,3229.00,5.037000,-0.1700,[Fe/H],0.221100,8.3220000,0.10630000,0.00578000,Mass,0.0157000000,0.7664600
GJ 1214 b,M4 V,3101.00,5.028600,0.2400,[Fe/H],0.216200,8.7820000,0.24382235,0.02646082,Mass,0.0150500000,0.8696600
GJ 1252 b,M3,3458.00,4.830000,0.1000,[Fe/H],0.391000,7.9150000,0.10643251,0.00415318,Mass,0.0091500000,0.7240000
GJ 143 b,K4.5,4640.00,4.613000,0.0030,[Fe/H],0.695000,5.3750000,0.23284860,0.07142183,Mass,0.1915000000,3.2300000
GJ 238 b,M2.5 V,3485.00,4.852430,0.1500,[Fe/H],0.431400,7.0300000,0.05049522,0.00039800,M-R relationship,0.0212300000,1.2390000
GJ 3090 b,M2 V,3707.00,4.727000,0.1200,[Fe/H],0.516000,7.2940000,0.19448691,0.01422151,Mass,0.0316000000,1.2810000
GJ 3470 b,M1.5,3600.00,4.695000,0.2000,[Fe/H],0.547000,7.9890000,0.40770809,0.04373407,Mass,0.0355000000,1.8984000
GJ 3473 b,M4,3347.00,4.810000,0.1100,[Fe/H],0.364000,8.8290010,0.11276653,0.00585219,Mass,0.0158900000,0.9500000
GJ 357 b,M2.5 V,3505.00,4.940000,-0.1200,[Fe/H],0.337000,6.4750000,0.10705701,0.00575782,Mass,0.0360000000,1.2910000
GJ 367 b,M V,3535.00,4.776000,-0.0100,[Fe/H],0.457000,5.7800000,0.06566164,0.00158261,Mass,0.0071000000,0.6290000
GJ 3929 b,M3.5 V,3384.00,4.890000,-0.0200,[Fe/H],0.320000,7.8690000,0.09724345,0.00550612,Mass,0.0252000000,1.1900000
GJ 436 b,M2.5 V,3586.11,4.792000,0.0991,[Fe/H],0.455000,6.0730000,0.37200000,0.07000000,Mass,0.0291000000,1.0053600
GJ 486 b,M3.5 V,3317.00,4.911100,-0.1500,[Fe/H],0.324300,6.3620000,0.11499708,0.00871539,Mass,0.0171400000,1.0158000
GJ 806 b,M1.5 V,3600.00,4.980000,-0.2800,[Fe/H],0.414400,6.5330000,0.11874407,0.00597807,Mass,0.0140600000,0.9300000
GJ 9827 b,K7 V,4236.00,4.719000,-0.2900,[Fe/H],0.580000,7.1930000,0.12846842,0.01346639,Mass,0.0189000000,1.2597600
GJ 9827 c,K7 V,4236.00,4.719000,-0.2900,[Fe/H],0.580000,7.1930000,0.10081202,0.00585221,Mass,0.0395000000,1.8264000
GJ 9827 d,K7 V,4236.00,4.700000,-0.2900,[Fe/H],0.580000,7.1930000,0.17664407,0.00950198,Mass,0.0530000000,1.2264000
GPX-1 b,F2,7000.00,4.270000,0.3500,[Fe/H],1.560000,11.1810000,1.47000000,19.70000000,Mass,0.0338000000,2.0900000
Gaia-1 b,,5470.00,4.439940,,,0.952000,11.2690000,1.22900000,1.68000000,Mass,0.0404700000,2.2564388
