# NASA Exoplanet Archive PSCompPars snapshot (shipped with the release)
# fetched: 2026-08-09T19:15:07Z
# endpoint: https://exoplanetarchive.ipac.caltech.edu/TAP/sync
# query: select pl_name,st_spectype,st_teff,st_logg,st_met,st_metratio,st_rad,sy_kmag,pl_radj,pl_bmassj,pl_bmassprov,pl_orbsmax,pl_trandur from pscomppars where tran_flag=1 and st_teff is not null and st_rad is not null and pl_radj is not null and pl_orbsmax is not null order by pl_name
# rows: 4355
pl_name,st_spectype,st_teff,st_logg,st_met,st_metratio,st_rad,sy_kmag,pl_radj,pl_bmassj,pl_bmassprov,pl_orbsmax,pl_trandur
Kepler-1067 b,,5592.00,4.490000,0.0300,[Fe/H],0.930000,12.6560000,0.07137122,0.00137000,M-R relationship,0.0164000000,1.0760000
Kepler-1067 c,,5594.00,4.489000,0.1600,[Fe/H],0.934000,12.6560000,0.15584149,0.01160000,M-R relationship,0.0606900000,2.5095000
Kepler-1068 b,,5806.00,4.430000,0.0300,[Fe/H],1.010000,14.1610000,0.32384691,0.04030000,M-R relationship,0.1303800000,4.0618000
Kepler-1069 b,,5722.00,4.460000,0.0400,[Fe/H],0.980000,11.5380000,0.14274244,0.01000000,M-R relationship,0.1658700000,15.7220000
Kepler-107 b,,5854.00,4.210000,0.3210,[Fe/H],1.447000,11.0600000,0.13703298,0.01195614,Mass,0.0454400000,3.6330000
Kepler-107 c,,5854.00,4.210000,0.3210,[Fe/H],1.447000,11.0600000,0.14247504,0.03146352,Mass,0.0606400000,4.2690000
Kepler-107 d,,5854.00,4.210000,0.3210,[Fe/H],1.447000,11.0600000,0.07672419,0.02422691,Mass,0.0837700000,4.3840000
Kepler-107 e,,5854.00,4.210000,0.3210,[Fe/H],1.447000,11.0600000,0.25898876,0.04436356,Mass,0.1263800000,6.1170000
Kepler-1070 b,,6261.00,4.270000,0.0300,[Fe/H],1.320000,12.6810000,0.15434026,0.01150000,M-R relationship,0.0675300000,3.2606000
Kepler-1071 b,,5215.00,4.560000,0.0100,[Fe/H],0.810000,13.7750000,0.21232938,0.01970000,M-R relationship,0.0629000000,2.1059000
Kepler-1072 b,,6199.00,4.270000,0.0700,[Fe/H],1.320000,12.5660000,0.14095816,0.00982000,M-R relationship,0.0274200000,2.7835000
Kepler-1073 b,,5792.00,4.440000,0.0000,[Fe/H],1.000000,12.9240000,0.20519226,0.01860000,M-R relationship,0.0805000000,3.4818000
Kepler-1073 c,,5792.00,4.440000,0.0000,[Fe/H],1.000000,12.9240000,0.14631100,0.01050000,M-R relationship,0.0483000000,2.7665000
Kepler-1073 d,,5509.00,4.308000,0.1600,[Fe/H],1.116000,12.9240000,0.13272478,0.00887000,M-R relationship,0.0352000000,2.5230000
Kepler-1074 b,,4002.00,4.700000,-0.0600,[Fe/H],0.570000,12.0730000,0.11151753,0.00660000,M-R relationship,0.0536000000,2.1737000
Kepler-1075 b,,3959.00,4.720000,-0.1700,[Fe/H],0.540000,12.4150000,0.12668391,0.00819000,M-R relationship,0.0208000000,1.4652000
Kepler-1076 b,,4868.00,4.600000,-0.0100,[Fe/H],0.740000,10.6640000,0.07137122,0.00137000,M-R relationship,0.0611000000,2.7627000
Kepler-1077 b,,5816.00,4.430000,0.0300,[Fe/H],1.020000,13.4960000,0.24712285,0.02550000,M-R relationship,0.2101000000,4.2220000
Kepler-1078 b,,5612.00,4.490000,-0.0100,[Fe/H],0.920000,13.9320000,0.16950665,0.01340000,M-R relationship,0.0388000000,4.3360000
Kepler-1079 b,,5758.00,4.210000,0.2100,[Fe/H],1.360000,11.0560000,0.14541886,0.01040000,M-R relationship,0.1092000000,4.3670000
Kepler-108 b,,5854.00,3.895000,0.3261,[M/H],2.192000,10.9830000,0.77200000,0.17600000,M-R relationship,0.2920000000,11.2770000
Kepler-108 c,,5854.00,3.895000,0.3261,[M/H],2.192000,10.9830000,0.73000000,0.16000000,M-R relationship,0.7210000000,15.7000000
Kepler-1080 b,,5956.00,4.350000,0.0900,[Fe/H],1.160000,12.1760000,0.29262200,0.03390000,M-R relationship,0.3781000000,10.2940000
Kepler-1081 b,,5345.00,4.540000,0.0100,[Fe/H],0.840000,11.9070000,0.09010616,0.00317000,M-R relationship,0.0466200000,1.9839000
Kepler-1082 b,,5923.00,4.330000,-0.0600,[Fe/H],1.140000,11.9700000,0.09991971,0.00459000,M-R relationship,0.0257100000,2.6094000
Kepler-1083 b,,5049.00,4.580000,-0.0200,[Fe/H],0.770000,13.8150000,0.29975912,0.03540000,M-R relationship,0.1899000000,4.5490000
Kepler-1084 b,,6113.00,4.270000,-0.0200,[Fe/H],1.280000,10.8360000,0.09902757,0.00444000,M-R relationship,0.0324000000,2.3751000
Kepler-1085 b,,6000.00,4.370000,0.0800,[Fe/H],1.140000,13.8910000,0.64412526,0.13000000,M-R relationship,0.7336100000,12.3580000
Kepler-1085 c,,5816.00,4.393780,0.2200,[Fe/H],1.078300,13.8910000,0.29156726,0.03370000,M-R relationship,0.2979800000,6.5380000
Kepler-1086 b,,4350.00,4.650000,0.0600,[Fe/H],0.660000,12.9410000,0.21768222,0.02050000,M-R relationship,0.1198000000,3.2339000
Kepler-1086 c,,4350.00,4.650000,0.0600,[Fe/H],0.660000,12.9410000,0.26228923,0.02820000,M-R relationship,0.5030000000,6.4560000
Kepler-1087 b,,5589.00,4.480000,0.0100,[Fe/H],0.940000,11.2130000,0.05442055,0.00052000,M-R relationship,0.0155400000,1.5236000
Kepler-1088 b,,5975.00,4.400000,0.0500,[Fe/H],1.080000,10.4760000,0.12668391,0.00819000,M-R relationship,0.1616300000,4.9230000
Kepler-1089 b,,3753.00,4.760000,-0.0900,[Fe/H],0.490000,12.3860000,0.16326166,0.01260000,M-R relationship,0.0497000000,1.6310000
Kepler-109 b,,5950.00,4.210000,-0.0200,[Fe/H],1.387000,11.0010000,0.22214330,0.01541712,Mass,0.0701000000,3.6490000
Kepler-109 c,,5950.00,4.210000,-0.0200,[Fe/H],1.387000,11.0010000,0.23641757,0.02580009,Mass,0.1546000000,6.4913000
Kepler-1090 b,,5321.00,4.550000,-0.0400,[Fe/H],0.820000,13.0700000,0.20073156,0.01790000,M-R relationship,0.6332300000,8.2870000
Kepler-1090 c,,5330.00,4.366000,0.1800,[Fe/H],1.013000,13.0700000,0.29375176,0.03420000,M-R relationship,0.2262200000,6.1330000
Kepler-1091 b,,5851.00,4.420000,0.0000,[Fe/H],1.030000,13.0590000,0.13025248,0.00859000,M-R relationship,0.0252000000,1.8811000
Kepler-1092 b,,5862.00,4.440000,-0.0900,[Fe/H],1.000000,13.0760000,0.18467303,0.01550000,M-R relationship,0.2996000000,5.5430000
Kepler-1093 b,,6166.00,4.330000,-0.0100,[Fe/H],1.200000,12.4840000,0.17396735,0.01400000,M-R relationship,0.1754300000,6.3570000
Kepler-1093 c,,6166.00,4.330000,-0.0100,[Fe/H],1.200000,12.4840000,0.17485949,0.01420000,M-R relationship,0.4103700000,10.6780000
Kepler-1094 b,,6112.00,4.330000,0.0600,[Fe/H],1.210000,13.5420000,0.28370060,0.03220000,M-R relationship,0.3625000000,8.3220000
Kepler-1095 b,,5658.00,4.480000,-0.0900,[Fe/H],0.920000,12.8990000,0.10794897,0.00606000,M-R relationship,0.0514000000,2.2736000
Kepler-1096 b,,4306.00,4.660000,-0.1000,[Fe/H],0.630000,12.3840000,0.11062539,0.00651000,M-R relationship,0.0340000000,1.3657000
Kepler-1097 b,,5211.00,4.570000,-0.1100,[Fe/H],0.790000,13.2520000,0.29083772,0.03360000,M-R relationship,0.5791000000,5.4080000
Kepler-1098 b,,5794.00,4.450000,-0.0200,[Fe/H],0.990000,13.0700000,0.11597823,0.00705000,M-R relationship,0.0358000000,2.7494000
Kepler-1099 b,,5837.00,4.450000,-0.0200,[Fe/H],1.000000,13.6970000,0.25247569,0.02640000,M-R relationship,0.0337000000,1.6611000
Kepler-11 b,,5663.00,4.366000,0.0500,[Fe/H],1.065000,12.1800000,0.16100000,0.00600000,Mass,0.0910000000,4.1160000
Kepler-11 c,,5663.00,4.366000,0.0500,[Fe/H],1.065000,12.1800000,0.25600000,0.00900000,Mass,0.1070000000,4.5440000
Kepler-11 d,,5663.00,4.366000,0.0500,[Fe/H],1.065000,12.1800000,0.27800000,0.02300000,Mass,0.1550000000,5.5860000
Kepler-11 e,,5663.00,4.366000,0.0500,[Fe/H],1.065000,12.1800000,0.37400000,0.02500000,Mass,0.1950000000,4.1650000
Kepler-11 f,,5663.00,4.366000,0.0500,[Fe/H],1.065000,12.1800000,0.22200000,0.00600000,Mass,0.2500000000,6.4310000
Kepler-11 g,,5663.00,4.366000,0.0500,[Fe/H],1.065000,12.1800000,0.29700000,0.07900000,Mass,0.4660000000,9.4690000
Kepler-110 b,,5960.00,4.327000,-0.1498,[M/H],1.149000,11.6230000,0.16300000,0.01260000,M-R relationship,0.1070000000,3.7550000
Kepler-110 c,,5960.00,4.327000,-0.1498,[M/H],1.149000,11.6230000,0.19700000,0.01740000,M-R relationship,0.1980000000,4.8230000
Kepler-1100 b,,6247.00,4.260000,0.0500,[Fe/H],1.340000,12.4560000,0.15612454,0.01170000,M-R relationship,0.0674500000,2.6602000
Kepler-1101 b,,5614.00,4.500000,-0.0400,[Fe/H],0.910000,13.3140000,0.22035864,0.02100000,M-R relationship,0.3483000000,5.7620000
Kepler-1102 b,,5724.00,4.480000,-0.0800,[Fe/H],0.940000,13.3810000,0.23730931,0.02380000,M-R relationship,0.2731000000,9.4390000
Kepler-1103 b,,6092.00,4.360000,-0.0100,[Fe/H],1.150000,12.7310000,0.20251584,0.01820000,M-R relationship,0.1533600000,3.1720000
Kepler-1104 b,,6417.00,4.250000,0.1300,[Fe/H],1.410000,10.9710000,0.10973325,0.00642000,M-R relationship,0.0632100000,1.8848000
Kepler-1105 b,,4299.00,4.620000,0.2800,[Fe/H],0.680000,12.3710000,0.17932019,0.01480000,M-R relationship,0.0471000000,2.0749000
Kepler-1106 b,,6104.00,4.350000,0.0000,[Fe/H],1.170000,13.2340000,0.14720314,0.01060000,M-R relationship,0.0239000000,2.0755000
Kepler-1107 b,,5268.00,4.550000,0.0100,[Fe/H],0.820000,12.1520000,0.11954679,0.00742000,M-R relationship,0.0128500000,1.0420000
Kepler-1108 b,,5406.00,4.540000,-0.0900,[Fe/H],0.840000,13.1720000,0.13025248,0.00859000,M-R relationship,0.0511000000,2.1605000
Kepler-1109 b,,5893.00,4.410000,0.0400,[Fe/H],1.060000,12.7070000,0.19537871,0.01710000,M-R relationship,0.2466000000,6.1170000
Kepler-111 b,,5952.00,4.377000,0.2200,[Fe/H],1.157000,12.1100000,0.14100000,0.00982000,M-R relationship,0.0460000000,2.7690000
Kepler-111 c,,5914.00,4.369000,0.2370,[Fe/H],1.145000,12.1100000,0.63200000,0.70000000,Mass,0.7510000000,11.1300000
Kepler-1110 b,,4781.00,4.620000,-0.1600,[Fe/H],0.700000,13.6040000,0.23730931,0.02380000,M-R relationship,0.0754000000,2.7590000
Kepler-1111 b,,6077.00,4.360000,0.0200,[Fe/H],1.150000,13.2440000,0.17842805,0.01470000,M-R relationship,0.0872000000,3.3986000
Kepler-1112 b,,6496.00,4.190000,0.0400,[Fe/H],1.540000,13.3970000,0.26942635,0.02950000,M-R relationship,0.1239000000,4.6255000
Kepler-1113 b,,5931.00,4.350000,0.1800,[Fe/H],1.170000,13.1910000,0.25069141,0.02610000,M-R relationship,0.2415000000,4.3980000
Kepler-1114 b,,5374.00,4.550000,-0.0800,[Fe/H],0.830000,11.9440000,0.12043893,0.00752000,M-R relationship,0.1105600000,2.4309000
Kepler-1115 b,,8480.00,4.170000,-0.5100,[Fe/H],1.730000,11.5120000,0.15166384,0.01110000,M-R relationship,0.2134000000,7.1590000
Kepler-1116 b,,5641.00,4.480000,0.0100,[Fe/H],0.930000,13.4820000,0.22660362,0.02200000,M-R relationship,0.2330000000,5.4230000
Kepler-1117 b,,5612.00,4.490000,0.0300,[Fe/H],0.930000,12.4630000,0.09902757,0.00444000,M-R relationship,0.0548500000,2.7287000
Kepler-1118 b,,5688.00,4.460000,0.0000,[Fe/H],0.970000,13.0400000,0.24444643,0.02500000,M-R relationship,0.2079000000,5.5670000
Kepler-1119 b,,6083.00,4.350000,0.0300,[Fe/H],1.170000,13.4560000,0.17129093,0.01370000,M-R relationship,0.0812000000,5.3830000
Kepler-112 b,,5544.00,4.506000,-0.5221,[M/H],0.841000,12.1550000,0.21100000,0.01940000,M-R relationship,0.0760000000,3.4850000
Kepler-112 c,,5544.00,4.506000,-0.5221,[M/H],0.841000,12.1550000,0.21400000,0.02000000,M-R relationship,0.1720000000,4.9630000
Kepler-1120 b,,4904.00,4.600000,-0.0400,[Fe/H],0.740000,13.1700000,0.12311535,0.00780000,M-R relationship,0.0369000000,2.0393000
Kepler-1121 b,,6231.00,4.140000,0.1200,[Fe/H],1.590000,10.7950000,0.17039879,0.01360000,M-R relationship,0.1181800000,5.6035000
Kepler-1122 b,,5544.00,4.510000,-0.0300,[Fe/H],0.890000,13.3690000,0.18199661,0.01520000,M-R relationship,0.2315000000,7.1080000
Kepler-1123 b,,5500.00,4.500000,0.0500,[Fe/H],0.900000,13.1050000,0.14898742,0.01080000,M-R relationship,0.0497000000,2.2973000
Kepler-1124 b,,3658.00,4.930000,-0.5900,[Fe/H],0.340000,12.8260000,0.11419395,0.00687000,M-R relationship,0.0305000000,0.7060000
Kepler-1125 b,,5683.00,4.470000,-0.0900,[Fe/H],0.940000,13.2430000,0.16415380,0.01270000,M-R relationship,0.1348000000,5.7720000
Kepler-1126 b,,5798.00,4.460000,-0.2600,[Fe/H],0.930000,12.5340000,0.15434026,0.01150000,M-R relationship,0.4125100000,7.9880000
Kepler-1126 c,,5678.00,4.409000,-0.4000,[Fe/H],0.921000,12.5340000,0.12936056,0.00849000,M-R relationship,0.6193000000,8.9960000
Kepler-1127 b,,5664.00,4.470000,0.0400,[Fe/H],0.950000,13.4630000,0.17485949,0.01420000,M-R relationship,0.0556000000,2.9984000
Kepler-1128 b,,5543.00,4.500000,0.0400,[Fe/H],0.910000,13.8960000,0.32563119,0.04070000,M-R relationship,0.3020000000,3.7520000
Kepler-1129 b,,5831.00,4.440000,-0.0400,[Fe/H],1.000000,13.7830000,0.26407351,0.02850000,M-R relationship,0.1648100000,3.2920000
Kepler-1129 c,,5831.00,4.440000,-0.0400,[Fe/H],1.000000,13.7830000,0.24355429,0.02490000,M-R relationship,0.3536700000,5.6930000
Kepler-113 b,,4725.00,4.636000,0.0500,[Fe/H],0.690000,11.2550000,0.16200000,0.03700000,Mass,0.0512300000,2.5037000
Kepler-113 c,,4725.00,4.636000,0.0500,[Fe/H],0.690000,11.2550000,0.19400000,0.02737312,Mass,0.0779600000,2.6766000
Kepler-1130 b,,5403.00,4.570000,-0.0600,[Fe/H],0.810000,10.6620000,0.07137122,0.00137000,M-R relationship,0.0596300000,2.1051000
Kepler-1130 c,,5450.00,4.563000,0.1000,[Fe/H],0.842000,10.6620000,0.07069294,0.00133000,M-R relationship,0.0423800000,2.0589000
Kepler-1130 d,,5450.00,4.563000,0.1000,[Fe/H],0.842000,10.6620000,0.05751841,0.00063400,M-R relationship,0.0506800000,2.1432000
Kepler-1131 b,,5851.00,4.420000,0.0500,[Fe/H],1.040000,13.4160000,0.14185030,0.00993000,M-R relationship,0.0459000000,2.8072000
Kepler-1132 b,,5298.00,4.550000,-0.0100,[Fe/H],0.830000,13.6330000,0.20965296,0.01930000,M-R relationship,0.2881000000,6.8670000
Kepler-1133 b,,5569.00,4.500000,-0.0200,[Fe/H],0.900000,13.1680000,0.17575163,0.01430000,M-R relationship,0.0983000000,1.6536000
Kepler-1134 b,,5281.00,4.560000,-0.1000,[Fe/H],0.810000,13.8810000,0.23552502,0.02350000,M-R relationship,0.1242000000,3.0540000
Kepler-1135 b,,5656.00,4.470000,0.0200,[Fe/H],0.940000,12.7500000,0.16504595,0.01280000,M-R relationship,0.3436000000,9.3840000
Kepler-1136 b,,4512.00,4.630000,0.0300,[Fe/H],0.680000,13.1740000,0.14631100,0.01050000,M-R relationship,0.0299000000,1.2234000
Kepler-1137 b,,6807.00,4.080000,0.0500,[Fe/H],1.840000,11.6990000,0.19627085,0.01720000,M-R relationship,0.1871000000,4.6920000
Kepler-1138 b,,5582.00,4.490000,0.0400,[Fe/H],0.920000,13.7540000,0.15166384,0.01110000,M-R relationship,0.0415000000,1.5778000
Kepler-1139 b,,5550.00,4.500000,0.0500,[Fe/H],0.910000,12.3390000,0.10616469,0.00570000,M-R relationship,0.0166400000,1.4276000
Kepler-114 b,M0 V,4605.00,4.650000,0.2291,[M/H],0.667000,11.3660000,0.11200000,0.00342952,Mass,0.0530000000,2.4350000
Kepler-114 c,M0 V,4660.00,4.720000,0.2291,[M/H],0.540000,11.3660000,0.14300000,0.00900000,Mass,0.0648200000,2.6319000
Kepler-114 d,M0 V,4660.00,4.720000,0.2291,[M/H],0.540000,11.3660000,0.22600000,0.01200000,Mass,0.0835800000,2.9021000
Kepler-1140 b,,4850.00,4.610000,-0.0800,[Fe/H],0.730000,13.2970000,0.24712285,0.02550000,M-R relationship,0.1478000000,2.2287000
Kepler-1141 b,,5791.00,4.380000,0.0400,[Fe/H],1.070000,10.9660000,0.07315550,0.00150000,M-R relationship,0.0349600000,1.3980000
Kepler-1142 b,,5685.00,4.460000,0.0200,[Fe/H],0.960000,12.6480000,0.13114462,0.00869000,M-R relationship,0.1343000000,8.1640000
Kepler-1143 b,,5053.00,4.580000,-0.0600,[Fe/H],0.770000,13.0750000,0.14898742,0.01080000,M-R relationship,0.0371000000,1.5538000
Kepler-1143 c,,5053.00,4.580000,-0.0600,[Fe/H],0.770000,13.0750000,0.32117049,0.03980000,M-R relationship,0.6477000000,8.6750000
Kepler-1144 b,,5753.00,4.470000,-0.0300,[Fe/H],0.960000,13.4330000,0.17753591,0.01450000,M-R relationship,0.1291000000,3.8410000
Kepler-1145 b,,5064.00,4.590000,-0.1300,[Fe/H],0.750000,13.3140000,0.12489963,0.00800000,M-R relationship,0.0443000000,1.8140000
Kepler-1146 b,,4692.00,4.620000,-0.0600,[Fe/H],0.700000,13.5180000,0.10973325,0.00642000,M-R relationship,0.0325000000,1.7070000
Kepler-1147 b,,5941.00,4.360000,0.1100,[Fe/H],1.140000,13.8770000,0.23284860,0.02300000,M-R relationship,0.0961000000,5.0130000
Kepler-1148 b,,5054.00,4.580000,-0.0200,[Fe/H],0.770000,13.2010000,0.15077170,0.01100000,M-R relationship,0.0188000000,1.0547000
Kepler-1149 b,,5833.00,4.430000,0.0200,[Fe/H],1.010000,13.3010000,0.12846820,0.00839000,M-R relationship,0.0473000000,2.8070000
Kepler-115 b,,5979.00,4.306000,-0.0499,[M/H],1.205000,11.9700000,0.09700000,0.00416000,M-R relationship,0.0360000000,1.3060000
Kepler-115 c,,5979.00,4.306000,-0.0499,[M/H],1.205000,11.9700000,0.23200000,0.02290000,M-R relationship,0.0870000000,4.0830000
Kepler-1150 b,,4754.00,4.610000,0.0100,[Fe/H],0.720000,12.1280000,0.09099830,0.00328000,M-R relationship,0.0382000000,2.0252000
Kepler-1151 b,,5470.00,4.530000,-0.1100,[Fe/H],0.850000,13.1260000,0.19805513,0.01750000,M-R relationship,0.3197000000,4.4120000
Kepler-1152 b,,3964.00,4.730000,-0.2500,[Fe/H],0.530000,11.6830000,0.07761620,0.00186000,M-R relationship,0.0223000000,1.2561000
Kepler-1153 b,,5470.00,4.520000,0.0300,[Fe/H],0.880000,14.0290000,0.15434026,0.01150000,M-R relationship,0.0277000000,1.8136000
Kepler-1154 b,,6327.00,4.230000,0.0400,[Fe/H],1.430000,13.3480000,0.20876082,0.01910000,M-R relationship,0.0631000000,4.0760000
Kepler-1154 c,,6327.00,4.230000,0.0400,[Fe/H],1.430000,13.3480000,0.21054510,0.01940000,M-R relationship,0.0875000000,3.0680000
Kepler-1155 b,,5842.00,4.430000,0.0400,[Fe/H],1.030000,13.1840000,0.18110447,0.01500000,M-R relationship,0.2006000000,4.5130000
Kepler-1156 b,,5778.00,4.440000,0.0200,[Fe/H],1.000000,12.6600000,0.11776251,0.00724000,M-R relationship,0.0970400000,3.5000000
Kepler-1157 b,,4679.00,4.620000,0.0500,[Fe/H],0.710000,12.0150000,0.09724329,0.00416000,M-R relationship,0.0448000000,2.3577000
Kepler-1158 b,,6203.00,4.010000,0.1800,[Fe/H],1.950000,12.2710000,0.20876082,0.01910000,M-R relationship,0.1264300000,4.3380000
Kepler-1159 b,,6217.00,4.300000,0.0400,[Fe/H],1.280000,13.1560000,0.21143724,0.01950000,M-R relationship,0.1603000000,3.6330000
Kepler-116 b,,6142.00,4.196000,0.0700,[Fe/H],1.454000,12.3830000,0.30500000,0.03640000,M-R relationship,0.0690000000,3.6390000
Kepler-116 c,,6142.00,4.196000,0.0700,[Fe/H],1.454000,12.3830000,0.20500000,0.01860000,M-R relationship,0.1160000000,3.0240000
Kepler-1160 b,,5519.00,4.510000,0.0100,[Fe/H],0.890000,14.1600000,0.19091801,0.01640000,M-R relationship,0.0755000000,2.7665000
Kepler-1161 b,,4253.00,4.700000,-0.3500,[Fe/H],0.570000,13.1410000,0.19002587,0.01630000,M-R relationship,0.0784000000,2.7219000
Kepler-1162 b,,5390.00,4.540000,-0.0300,[Fe/H],0.840000,13.7530000,0.19716299,0.01740000,M-R relationship,0.1900000000,5.5480000
Kepler-1162 c,,5225.00,4.505000,0.1400,[Fe/H],0.859000,13.7530000,0.16147766,0.01240000,M-R relationship,0.2832000000,5.4200000
Kepler-1163 b,,6302.00,4.260000,0.0200,[Fe/H],1.350000,10.9710000,0.09189045,0.00340000,M-R relationship,0.0686800000,3.4700000
Kepler-1164 b,,5183.00,4.570000,-0.0300,[Fe/H],0.790000,12.2030000,0.09991971,0.00459000,M-R relationship,0.0463500000,2.1411000
Kepler-1165 b,,6080.00,4.340000,0.0500,[Fe/H],1.180000,13.0700000,0.13828174,0.00951000,M-R relationship,0.0914000000,6.2230000
Kepler-1165 c,,6249.00,4.428000,-0.0400,[Fe/H],1.076000,13.0700000,0.29984295,0.03540000,M-R relationship,0.1969000000,6.7100000
Kepler-1166 b,,5446.00,4.530000,-0.0200,[Fe/H],0.860000,12.7370000,0.15077170,0.01100000,M-R relationship,0.1975000000,4.9820000
Kepler-1167 b,,4971.00,4.600000,-0.0500,[Fe/H],0.750000,13.6630000,0.15255598,0.01120000,M-R relationship,0.0175000000,1.4562000
Kepler-1168 b,,5157.00,4.560000,0.1300,[Fe/H],0.820000,13.6860000,0.22303506,0.02140000,M-R relationship,0.2663000000,5.4930000
Kepler-1169 b,,6191.00,4.350000,0.2600,[Fe/H],1.230000,11.4090000,0.08386118,0.00245000,M-R relationship,0.0693100000,2.4470000
Kepler-117 b,F8 V,6150.00,4.102000,-0.0400,[Fe/H],1.606000,13.0110000,0.71900000,0.09400000,Mass,0.1445000000,7.2580000
Kepler-117 c,F8 V,6150.00,4.102000,-0.0400,[Fe/H],1.606000,13.0110000,1.10100000,1.84000000,Mass,0.2804000000,10.8830000
Kepler-1170 b,,5069.00,4.580000,-0.0900,[Fe/H],0.760000,13.8060000,0.21500580,0.02010000,M-R relationship,0.0880000000,3.7040000
Kepler-1171 b,,7044.00,4.050000,-0.0100,[Fe/H],1.950000,10.5470000,0.22838790,0.02230000,M-R relationship,0.0284000000,3.0151000
Kepler-1172 b,,5558.00,4.510000,-0.0400,[Fe/H],0.890000,14.1400000,0.28548488,0.03250000,M-R relationship,0.1680000000,4.8400000
Kepler-1173 b,,5252.00,4.550000,0.0000,[Fe/H],0.820000,11.8840000,0.07940048,0.00201000,M-R relationship,0.0156000000,1.0276000
Kepler-1174 b,,5936.00,4.420000,-0.0400,[Fe/H],1.040000,12.7620000,0.14185030,0.00993000,M-R relationship,0.0732000000,2.4556000
Kepler-1175 b,,5453.00,4.530000,-0.0400,[Fe/H],0.860000,14.1490000,0.26674993,0.02900000,M-R relationship,0.2181000000,4.0250000
Kepler-1176 b,,5844.00,4.420000,-0.0100,[Fe/H],1.020000,13.3100000,0.21857436,0.02070000,M-R relationship,0.1589000000,3.0570000
Kepler-1177 b,,5712.00,4.460000,0.0200,[Fe/H],0.970000,12.9670000,0.16950665,0.01340000,M-R relationship,0.4301000000,13.6680000
Kepler-1178 b,,4990.00,4.590000,-0.0500,[Fe/H],0.750000,11.7350000,0.09545901,0.00390000,M-R relationship,0.1596000000,3.7940000
Kepler-1179 b,,5212.00,4.560000,-0.0300,[Fe/H],0.810000,12.1890000,0.11776251,0.00724000,M-R relationship,0.0349700000,1.0229000
Kepler-118 b,,5274.00,4.321000,0.1800,[Fe/H],1.094000,12.7110000,0.17500000,0.01420000,M-R relationship,0.0730000000,2.8570000
Kepler-118 c,,5274.00,4.321000,0.1800,[Fe/H],1.094000,12.7110000,0.68500000,0.14400000,M-R relationship,0.1410000000,3.1080000
Kepler-1180 b,,6077.00,4.360000,0.0000,[Fe/H],1.140000,13.5210000,0.17753591,0.01450000,M-R relationship,0.1246000000,5.5530000
Kepler-1181 b,,6176.00,4.270000,0.0300,[Fe/H],1.300000,12.3630000,0.14006602,0.00972000,M-R relationship,0.0621000000,3.3160000
Kepler-1181 c,,6688.00,4.304000,0.0700,[Fe/H],1.347000,12.3630000,0.16326195,0.01260000,M-R relationship,0.0928000000,2.5790000
Kepler-1182 b,,5924.00,4.410000,0.0100,[Fe/H],1.050000,13.6700000,0.21500580,0.02010000,M-R relationship,0.0981000000,3.4210000
Kepler-1183 b,,5765.00,4.450000,0.0400,[Fe/H],0.990000,14.0060000,0.25158355,0.02630000,M-R relationship,0.1793000000,6.2520000
Kepler-1184 b,,5983.00,4.410000,-0.0400,[Fe/H],1.070000,13.4900000,0.23909359,0.02410000,M-R relationship,0.2863000000,6.6620000
Kepler-1185 b,,5622.00,4.540000,-0.0400,[Fe/H],0.870000,10.9810000,0.11865465,0.00733000,M-R relationship,0.4297000000,3.5860000
Kepler-1186 b,,5635.00,4.490000,0.0000,[Fe/H],0.930000,13.6720000,0.19894727,0.01760000,M-R relationship,0.1281000000,2.2370000
Kepler-1187 b,,5975.00,4.390000,-0.0100,[Fe/H],1.090000,13.1510000,0.23284860,0.02300000,M-R relationship,0.1401000000,3.2476000
Kepler-1188 b,,5913.00,4.400000,0.0000,[Fe/H],1.060000,13.5190000,0.18556517,0.01570000,M-R relationship,0.1350000000,6.3660000
Kepler-1189 b,,6012.00,4.360000,0.0800,[Fe/H],1.160000,12.6750000,0.15790882,0.01190000,M-R relationship,0.0467000000,3.4920000
Kepler-119 b,,5595.00,4.567000,0.0100,[Fe/H],0.839000,12.5800000,0.32100000,0.03980000,M-R relationship,0.0350000000,2.5740000
Kepler-119 c,,5595.00,4.567000,0.0100,[Fe/H],0.839000,12.5800000,0.08200000,0.00227000,M-R relationship,0.0490000000,2.8400000
Kepler-1190 b,,4730.00,4.620000,-0.0200,[Fe/H],0.720000,12.2120000,0.11865465,0.00733000,M-R relationship,0.0845000000,3.1020000
Kepler-1191 b,,5308.00,4.560000,-0.0800,[Fe/H],0.810000,13.5260000,0.13471318,0.00909000,M-R relationship,0.0587000000,2.8018000
Kepler-1192 b,,5438.00,4.550000,-0.1600,[Fe/H],0.830000,13.9220000,0.21054510,0.01940000,M-R relationship,0.1693000000,4.5520000
Kepler-1193 b,,5908.00,4.310000,0.1200,[Fe/H],1.210000,12.0650000,0.11776251,0.00724000,M-R relationship,0.0400400000,2.3844000
Kepler-1194 b,,5590.00,4.490000,0.0000,[Fe/H],0.920000,12.4450000,0.13471318,0.00909000,M-R relationship,0.1212000000,2.5020000
Kepler-1195 b,,4965.00,4.610000,-0.2500,[Fe/H],0.710000,13.7120000,0.18556517,0.01570000,M-R relationship,0.0726000000,2.2373000
